ActiveLearningByLearning,1,budget,20,nStart,2,nQuery,2,labeled,4,accCompare,0.8239,0.8816,0.0577,timePerIter,10.51062894
ActiveLearningByLearning,2,budget,20,nStart,2,nQuery,2,labeled,4,accCompare,0.2121,0.8456,0.6335,timePerIter,110.9795425
ActiveLearningByLearning,3,budget,20,nStart,2,nQuery,2,labeled,4,accCompare,0.7963,0.8405,0.0442,timePerIter,108.9310186
ActiveLearningByLearning,4,budget,20,nStart,2,nQuery,2,labeled,4,accCompare,0.8197,0.8764,0.0567,timePerIter,111.4658139
ActiveLearningByLearning,5,budget,20,nStart,2,nQuery,2,labeled,4,accCompare,0.819,0.8966,0.0776,timePerIter,10.33290839
BadgeSampling,1,budget,20,nStart,2,nQuery,2,labeled,4,accCompare,0.8238,0.885,0.0612,timePerIter,250.9286091
BadgeSampling,1,budget,20,nStart,2,nQuery,2,labeled,6,accCompare,0.8238,0.906,0.0822,timePerIter,255.7045531
BadgeSampling,1,budget,20,nStart,2,nQuery,2,labeled,8,accCompare,0.8238,0.9426,0.1188,timePerIter,247.6416552
BadgeSampling,1,budget,20,nStart,2,nQuery,2,labeled,10,accCompare,0.8238,0.9584,0.1346,timePerIter,237.3691683
BadgeSampling,1,budget,20,nStart,2,nQuery,2,labeled,12,accCompare,0.8238,0.959,0.1352,timePerIter,229.8589356
BadgeSampling,1,budget,20,nStart,2,nQuery,2,labeled,14,accCompare,0.8238,0.9655,0.1417,timePerIter,229.5198793
BadgeSampling,1,budget,20,nStart,2,nQuery,2,labeled,16,accCompare,0.8238,0.969,0.1452,timePerIter,227.6474621
BadgeSampling,1,budget,20,nStart,2,nQuery,2,labeled,18,accCompare,0.8238,0.9697,0.1459,timePerIter,219.2240508
BadgeSampling,1,budget,20,nStart,2,nQuery,2,labeled,20,accCompare,0.8238,0.9755,0.1517,timePerIter,211.1112082
BadgeSampling,2,budget,20,nStart,2,nQuery,2,labeled,4,accCompare,0.8247,0.8611,0.0364,timePerIter,254.6946604
BadgeSampling,2,budget,20,nStart,2,nQuery,2,labeled,6,accCompare,0.8247,0.9175,0.0928,timePerIter,261.6768606
BadgeSampling,2,budget,20,nStart,2,nQuery,2,labeled,8,accCompare,0.8247,0.9428,0.1181,timePerIter,253.4024944
BadgeSampling,2,budget,20,nStart,2,nQuery,2,labeled,10,accCompare,0.8247,0.959,0.1343,timePerIter,243.9249916
BadgeSampling,2,budget,20,nStart,2,nQuery,2,labeled,12,accCompare,0.8247,0.9635,0.1388,timePerIter,234.2311368
BadgeSampling,2,budget,20,nStart,2,nQuery,2,labeled,14,accCompare,0.8247,0.9655,0.1408,timePerIter,227.6670439
BadgeSampling,2,budget,20,nStart,2,nQuery,2,labeled,16,accCompare,0.8247,0.9693,0.1446,timePerIter,222.6600206
BadgeSampling,2,budget,20,nStart,2,nQuery,2,labeled,18,accCompare,0.8247,0.9716,0.1469,timePerIter,224.3161376
BadgeSampling,2,budget,20,nStart,2,nQuery,2,labeled,20,accCompare,0.8247,0.9708,0.1461,timePerIter,216.2449331
BadgeSampling,3,budget,20,nStart,2,nQuery,2,labeled,4,accCompare,0.829,0.9029,0.0739,timePerIter,256.4296958
BadgeSampling,3,budget,20,nStart,2,nQuery,2,labeled,6,accCompare,0.829,0.9297,0.1007,timePerIter,252.55668
BadgeSampling,3,budget,20,nStart,2,nQuery,2,labeled,8,accCompare,0.829,0.9374,0.1084,timePerIter,245.1117957
BadgeSampling,3,budget,20,nStart,2,nQuery,2,labeled,10,accCompare,0.829,0.9555,0.1265,timePerIter,236.0967321
BadgeSampling,3,budget,20,nStart,2,nQuery,2,labeled,12,accCompare,0.829,0.9633,0.1343,timePerIter,238.9888291
BadgeSampling,3,budget,20,nStart,2,nQuery,2,labeled,14,accCompare,0.829,0.9643,0.1353,timePerIter,231.0463579
BadgeSampling,3,budget,20,nStart,2,nQuery,2,labeled,16,accCompare,0.829,0.9687,0.1397,timePerIter,221.6763885
BadgeSampling,3,budget,20,nStart,2,nQuery,2,labeled,18,accCompare,0.829,0.9698,0.1408,timePerIter,217.9822066
BadgeSampling,3,budget,20,nStart,2,nQuery,2,labeled,20,accCompare,0.829,0.9746,0.1456,timePerIter,213.8495913
BadgeSampling,4,budget,20,nStart,2,nQuery,2,labeled,4,accCompare,0.8299,0.8769,0.047,timePerIter,256.1837819
BadgeSampling,4,budget,20,nStart,2,nQuery,2,labeled,6,accCompare,0.8299,0.9086,0.0787,timePerIter,256.2043819
BadgeSampling,4,budget,20,nStart,2,nQuery,2,labeled,8,accCompare,0.8299,0.947,0.1171,timePerIter,254.3719254
BadgeSampling,4,budget,20,nStart,2,nQuery,2,labeled,10,accCompare,0.8299,0.9556,0.1257,timePerIter,249.204258
BadgeSampling,4,budget,20,nStart,2,nQuery,2,labeled,12,accCompare,0.8299,0.9616,0.1317,timePerIter,233.0909815
BadgeSampling,4,budget,20,nStart,2,nQuery,2,labeled,14,accCompare,0.8299,0.9659,0.136,timePerIter,229.017421
BadgeSampling,4,budget,20,nStart,2,nQuery,2,labeled,16,accCompare,0.8299,0.9684,0.1385,timePerIter,232.5261593
BadgeSampling,4,budget,20,nStart,2,nQuery,2,labeled,18,accCompare,0.8299,0.9669,0.137,timePerIter,225.6657832
BadgeSampling,4,budget,20,nStart,2,nQuery,2,labeled,20,accCompare,0.8299,0.9751,0.1452,timePerIter,212.2614455
BadgeSampling,5,budget,20,nStart,2,nQuery,2,labeled,4,accCompare,0.8089,0.8881,0.0792,timePerIter,256.1714096
