RandomSampling 0.5 17.00158164248569 50.2853371296078 88.65535202645697 169.3307850845158 268.7168737053871 408.6061089038849 613.4647462368011 17.106745 6.4967713 9.540412 0.00012559333854591102 0.3112 
RandomSampling 1.0 33.34557946858695 97.56255224661436 170.49990855134092 329.01951291039586 523.5268099009991 810.8091171979904 1241.564871788025 9.904325485229492 4.038802688777447 5.944121033350626 0.00023571014787928836 0.4023 
RandomSampling 1.5 48.78741632870515 142.34482328162994 249.92325196019374 486.57775627449155 775.845643311739 1215.1742042303085 1866.6516799926758 9.904325485229492 3.1664802412341038 4.701133835050795 0.0003432700366016811 0.4275 
RandomSampling 2.0 67.12976692841039 193.84236111061182 337.7405947211664 651.5299826003611 1036.194205880165 1620.9246131181717 2486.96414911747 9.904325485229492 2.68463578690961 4.077212128639221 0.0004723293839925583 0.5053 
RandomSampling 2.5 84.01717706362251 242.24185462575406 422.3320145019097 813.0001734681427 1293.0214527249336 2021.3841822743416 3100.560720205307 8.55359935760498 2.3527372985586523 3.5960403569539388 0.0005920215399747939 0.515 
RandomSampling 3.0 100.59959411312593 292.8408199478872 511.4035354665248 983.0241376943886 1557.4749292135239 2433.5657455325127 3721.5484684705734 8.55359935760498 2.046266286982301 3.1470638211568196 0.0007162496506655128 0.4952 
RandomSampling 3.5 118.05770577730436 342.6222695897741 595.3682779684896 1140.972275532782 1810.4896511733532 2832.410791993141 4332.908790588379 7.8204474449157715 1.844673802330957 2.8827741037096297 0.0008615193139824415 0.5373 
CoreSet 0.5 17.00158164248569 50.2853371296078 88.65535202645697 169.3307850845158 268.7168737053871 408.6061089038849 613.4647462368011 17.106745 6.4967713 9.540412 0.00012559333854591102 0.3112 
CoreSet 1.0 32.473207551491214 97.82706866902299 174.9937027695123 335.61123264208436 534.0144331753254 821.8727985024452 1241.74259018898 15.34012508392334 4.216882140547037 6.339489332834879 0.0002693755498663875 0.4106 
CoreSet 1.5 49.44956493709469 149.49959103937726 264.51760534080677 503.61323153600097 795.9159602224827 1231.095303118229 1863.1656827926636 11.802494049072266 3.214432190169891 4.929277154074775 0.00041014828687669063 0.4786 
